,precision,recall,f1-score,support
0,0.7744387589103493,0.9667331265691922,0.8599674839472518,27084.0
1,0.5682798275035936,0.13458919655015888,0.21763464538031016,8812.0
accuracy,0.7624526409627813,0.7624526409627813,0.7624526409627813,0.7624526409627813
macro avg,0.6713592932069714,0.5506611615596755,0.538801064663781,35896.0
weighted avg,0.723829429080944,0.7624526409627813,0.7022831465990267,35896.0
