,precision,recall,f1-score,support
0,0.7927397669554825,0.9746895893027698,0.8743491728728663,27222.0
1,0.74872355944566,0.22836484983314795,0.34998295260825096,8990.0
accuracy,0.7894068264663647,0.7894068264663647,0.7894068264663647,0.7894068264663647
macro avg,0.7707316632005713,0.6015272195679588,0.6121660627405586,36212.0
weighted avg,0.7818122924853262,0.7894068264663647,0.7441698864435364,36212.0
