,precision,recall,f1-score,support
0,0.7781329350261389,0.9715415314609676,0.8641475632816906,26811.0
1,0.6235816477553034,0.14543780922793695,0.2358649001679418,8691.0
accuracy,0.7693087713368261,0.7693087713368261,0.7693087713368261,0.7693087713368261
macro avg,0.7008572913907212,0.5584896703444523,0.5500062317248162,35502.0
weighted avg,0.7402982992965792,0.7693087713368261,0.7103420135909242,35502.0
