,precision,recall,f1-score,support
0,0.7781965087883265,0.9650788903013535,0.861620629224735,26746.0
1,0.5852575488454707,0.15193083573487032,0.2412373020957262,8675.0
accuracy,0.7659298156460856,0.7659298156460856,0.7659298156460856,0.7659298156460856
macro avg,0.6817270288168986,0.558504863018112,0.5514289656602306,35421.0
weighted avg,0.7309435944859557,0.7659298156460856,0.7096817973779732,35421.0
