,precision,recall,f1-score,support
0,0.7855302705023616,0.9659450897571278,0.8664456547478095,26516.0
1,0.6361804995970991,0.18420438637424172,0.28568843857427173,8572.0
accuracy,0.7749658002735978,0.7749658002735978,0.7749658002735978,0.7749658002735978
macro avg,0.7108553850497303,0.5750747380656848,0.5760670466610407,35088.0
weighted avg,0.7490441146599109,0.7749658002735978,0.7245666403542971,35088.0
